timestamp,logs,magic_logs,yew_logs,maple_logs,willow_logs,oak_logs
1656532800,3775,30960,122598,166162,13539,7961
1656964800,20324,46399,80644,130062,25076,14692
1657051200,5807,18408,72438,121865,24278,4660
1657137600,4421,44313,32757,239596,4395,21830
1657224000,8432,39086,124345,276155,13042,17894
1657310400,9203,39370,42455,8056,12928,11679
1661544000,3664,32474,63325,50891,10119,8591
1661983200,8588,52581,52436,110098,31228,12865
1662062400,7060,59499,64909,137231,45681,5675
1662494400,5851,50666,77439,114651,16441,4479
1662926400,7535,37686,101378,57768,5758,8737
1663012800,10406,50344,53225,130424,35643,3342
1663099200,7107,104374,54849,56042,13706,4913
1663185600,6522,13879,112574,157269,17476,7491
1663272000,867,57457,117001,73922,12657,5291
1663358400,4068,53677,50018,210817,20022,244011
1663444800,3875,24874,63164,60770,22542,13898
1663531200,6999,71102,52883,1036647,20466,14123
1663617600,10501,55424,101985,170622,25566,4697
1663704000,6185,180165,127774,121675,22113,8693
1663790400,2667,67380,103644,203499,28567,5568
1663876800,8581,49112,30085,163950,25945,7818
1664308800,7209,50395,33505,606517,18819,7499
1664395200,4484,22763,48858,262335,26132,7079
1664481600,5598,20553,65888,88483,7385,5568
1664568000,8376,19353,88537,62619,30719,6244
1664654400,1420,39502,46393,96567,12759,4553
1664913600,3078,79859,38814,172684,35372,9107
1665000000,6484,38955,74659,136398,9998,5110
1665086400,40345,24728,59469,189059,15630,8015
1665518400,4730,52566,55979,577632,13740,6359
1665604800,9891,37331,28851,186539,12431,8421
1665691200,10319,84090,59943,46177,13246,7694
1665777600,2488,17011,80909,166827,14487,15008
1665864000,14093,64849,160150,37223,6966,15043
1665950400,10770,55679,86669,156577,23977,9676
1666036800,10268,74105,34807,164975,18553,8006
1666130400,22103,93702,59961,46860,25054,4327
1666296000,24176,47860,57890,71104,31804,6099
1666468800,5513,52583,97234,86253,35329,12959
1666555200,11466,43053,86425,214416,14659,13844
1666641600,10421,51601,84718,165208,12877,3074
