timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1618689600,1,1,1,,18,0,1,1,2,3,30,65,101,49,4,4,2,8,99,1285,26647,45,1,1,1,49,40943,1618,43,538,169,59502,493,490,294,54802,5,6,8,4,6,,191,21,982,18773,53014,126809,1,1,1,23,1,1,5
1618776000,10,1,1,17,25,2,1,4,40,3,14,56,130,80,2,5,3,21,99,1211,27661,81,7,4,8,54,42034,1533,41,581,182,59243,456,603,230,54618,4,4,3,3,5,4,135,27,940,19172,52112,127029,1,1,5,14,8,2,1
1618862400,2,1,1,1,39,,1,9,3,1,31,56,85,64,3,4,2,7,55,1235,26510,44,45,3,10,90,43244,1476,96,793,175,60500,406,726,228,53311,4,3,3,3,6,9,163,24,924,19669,52120,123225,1,1,6,15,3,2,6
1618948800,6,1,1,6,18,1,,,2,3,39,54,93,46,12,5,3,7,41,1082,26019,,10,6,11,46,43531,1441,39,554,146,58891,461,575,223,52722,4,4,3,2,12,2,137,50,813,19011,51478,121012,1,1,4,17,2,12,1
1619035200,1,,1,6,22,,60,3,3,40,30,121,71,191,1,3,1,8,1,1085,26084,169,6,11,20,42,45906,1460,38,590,170,59204,447,617,179,50730,5,5,3,4,2,11,158,27,897,18352,51879,118938,1,1,3,9,1,2,2
1619121600,1,,1,4,24,,,7,7,50,4,158,135,350,2,2,3,6,53,1055,25372,53,7,9,10,45,44818,1425,37,521,158,57599,687,771,193,52482,4,3,3,3,5,4,150,29,898,19004,53103,120314,1,1,3,12,1,2,1
1619208000,2,,1,,19,2,9,9,2,50,15,63,98,298,3,2,12,7,,926,25244,102,9,6,11,33,43888,1304,31,534,152,57268,943,472,196,51338,4,1,3,3,14,5,151,27,918,19288,52151,119566,1,1,4,10,1,4,1
1619316000,1,1,1,5,37,2,2,2,3,4,3,55,72,85,3,2,3,4,71,998,24991,82,16,8,11,48,43930,1326,69,513,136,56131,495,560,183,50058,12,4,3,3,5,5,158,23,915,19033,51752,120577,1,1,3,17,1,4,1
1619380800,18,50,1,200,39,2,,3,13,5,21,62,88,76,3,3,3,5,,972,23722,290,33,7,10,46,43638,1316,30,511,167,55940,741,591,182,49335,15,7,8,2,5,5,300,27,869,19499,50658,118504,1,1,7,14,,1,1
1619467200,1,1,,,23,2,,3,3,4,26,199,235,130,3,3,2,5,170,906,23728,290,8,8,11,38,44620,1261,38,263,153,56833,497,497,170,49333,4,4,3,5,1,11,156,27,820,18858,50525,119306,1,1,4,22,6,5,2
